Register #,Annual DFO # (discontinued),Glide #,Country,Other,Nations, Affected,Detailed Locations (click on active links to access inundation extents),Validation (post event #3503),Began,Ended,Duration in Days,Dead,Displaced,Damage (USD),Main cause,Severity *,Affected sq km,Magnitude (M)**,Centroid X,Centroid Y,"""News"" if validated",M>6,Total annual floods M>6,M>4,Total annual floods M>4,Date Began,Total floods M>6,Total floods M>4,Notes and Comments (may include quoted headlines from copyrighted news stories; for internal research purposes only)
4319,,0,United Kingdom,Ireland,#N/A,#N/A,"Northern England, Scotland, and Northern Ireland",News,5-Dec-15,6-Jan-16,33,3,64000,,Heavy Rain,2,36750.19,6.4,-2.77486,54.9868,News,1,50,1,101,05-Dec-15,1162,3786,"January 3, 201: ""Consultancy PwC raised its estimate of the economic impact of the three storms that battered Britain in December to between 2-2.8 billion pounds on Monday, and warned losses could climb further, with scores of flood alerts still in place.Raising its estimates for the third time in a week, PwC said Storms Desmond, Eva and Frank, which have caused widespread flooding and damage to thousands of homes and businesses across northern parts of the British Isles, could incur combined insured losses of between 1-1.4 billion pounds.""December was an awful time for the UK. The three storms - Desmond, Eva and Frank - plus the additional rainfall that has fallen between and after each of the storms has resulted in the worst damage in the UK since the 2007 storms,"" Mohammad Khan, general insurance leader at PwC said.""It may well be that as more rain falls we could even have more damage than the 2007 storms"".Floods and storms in 2007, which hit north-east, central and southern England and Wales, cost insurers a total of 3 billion pounds according to the Association of British Insurers.Last Wednesday, PwC estimated insured losses from UK Storms Desmond and Eva of between 900 million pounds to 1.2 billion pounds, raising an earlier estimated range of 700 million-1 billion pounds.The estimates published on Monday are the first to include the impact of Storm Frank.(This refiled version of the story recasts headline to clarify estimate refers to economic impact, not insurer payouts)(Reporting By Sinead Cruise; Editing by Rachel Armstrong). December 31, 2015: Storm Frank batters northern Britain
LONDON | BY CAROLYN COHN AND KATE HOLTONTorrential rain and gale force winds battered northern Britain on Wednesday, cutting power to thousands of homes and forcing some to evacuate flooded streets in the third major storm in a month.The Environment Agency said Britain had faced an extraordinary period of severe weather and flooding in December, with consultants PwC warning that the latest deluge from Storm Frank could take total losses above 3 billion pounds.Further heavy rain was predicted to fall throughout Wednesday as the latest storm swept across northern England, Scotland and Northern Ireland, sparking warnings of more significant flooding.A Chinook helicopter was being used to deposit sandbags. In the North Yorkshire town of Tadcaster late on Tuesday, part of an 18th century stone bridge crumbled into the racing river.""The weather remains hugely challenging, with more rain threatening to cause further flooding in Cumbria and Yorkshire today and into New Year?s Eve,"" said Craig Woolhouse at the Environment Agency.Around 6,700 properties were flooded in northern England in the last week as river levels reached all time highs, while three severe flood warnings remain in place, meaning there is a danger to life.In Northern Ireland and the Republic, roads flooded, flights were delayed and thousands went without power while in Scotland, local media reports said people were being evacuated from their homes in the north east town of Ballater by dingy.PwC on Wednesday raised its estimate of insured losses from two earlier storms - Desmond and Eva - to between 900 million pounds and 1.2 billion pounds from an earlier range of 700 million to 1 billion pounds."
4318,,TC-2015-000170-PHL,Philippines,0,#N/A,#N/A,"Oriental Mindoro, including the provinces of Albay, Northern Samar, Oriental Mindoro, Romblon and Sorsogon",News,12-Dec-15,6-Jan-16,26,40,20000,,"Tropical storms Melor, Onyok",1.5,6147.67,5.4,121.229,12.8357,News,0,49,1,100,12-Dec-15,1161,3785,"December 21, 2015: ""Death Toll Rises in Storm Hit Philippines ? Government Declares ?State of National Calamity?
A week of severe weather has left over 40 people dead in the Philippines, prompting the government to declare a ?state of national calamity.? Tropical Cyclone MelorPhilippines authorities say Tropical Cyclone Melor, known locally as ?Nona?, made landfall in Pinamalayan, Oriental Mindoro on 15 December 2015.Melor caused widespread destruction, substantial damage, and deaths in several areas, including the provinces of Albay, Northern Samar, Oriental Mindoro, Romblon and Sorsogon. Media reported that 11 people died in the cyclone, many of them from the island of Mindoro, where flood waters were as deep as 2 metres in some places.Melor also brought flooding to several major cities, including Manila, which recorded 146.8 mm of rain fall in a 24 hour period to 16 December.Authorities had carried out the pre-emptive evacuations of almost 750,000 people in anticipation of the threat of Cyclone Melor.Currently, a total of 37,145 families or 175,168 persons are inside 526 evacuation centres and 38,601 families or 192,098 persons are outside evacuation centres, according to the latest report from authorities.
Storm OnyokThe cyclone was followed swiftly by a tropical depression, known locally as storm Onyok. The storm made landfall on 18 December 2015 in Caraga and Manay, triggered flooding and landslides.By Saturday 19 December the tropical depression had weakened into a low pressure area bringing torrential rains to the central Visayas islands and Mindanao.Philippines authorities say that a total of 32,914 families or 143,097 persons were affected by Onyok. About 15,000 people were evacuated in Caraga. Over 12,000 where staying in 87 evacuation centres set up by local disaster management authorities.Northeast Monsoon RainsThe Philippines National Risk Reduction and Management Council (NDRRMC) also reported on 20 December that the Northeast Monsoon was affecting Northern and Central Luzon, bringing with it the threat of flash floods and landslides.Almost 5,000 have been evacuated in Laguna, Cavite, Quezon and Bohol provinces. Four people died in a landslide in Quezon and 5 others were injured in a separate landslide in Cebu.NDRRMC say that flooding is affecting 35 areas, including Mandaluyong City and the Province of Lagunain, where in some cases the flood water is waist deep.NDRRMC report that in some areas the flood water has started to recede."
4317,,0,Kenya,0,#N/A,#N/A,"Garissa, Tana River, Migori, Busia and Homa Bay",News,1-Dec-15,6-Jan-16,37,112,100000,,Heavy Rain,1.5,103769.52,6.8,39.5133,-2.03643,News,1,49,1,99,01-Dec-15,1161,3784,"January 4, 2016: ""The International Federation of Red Cross and Red Crescent Societies (IFRC) reported in a statement on 04 January 2016 that heavy rains and floods in Kenya during the last 3 months have left 112 dead and displaced over 100,000.The ongoing rains have led to a host of problems, including floods caused by rivers bursting their banks in Garissa, Tana River, Migori, Busia and Homa Bay.Narok experienced deadly flash floods and landslides in November 2015, while further landslides as a result of heavy downpours were reported in Mt. Elgon, Kisii and West Pokot. IFRC also report that the rain resulted in numerous serious road traffic accidents in Turkana, Homa Bay, and Nairobi, and lightning strikes in Kisii.Since the onset of the October ? November ? December (OND) rainy season, known as the ?Short Rains?, a total of 240,726 have been affected and 103,524 people displaced, according to the report.Wide areas of farmland has been damaged in Mt. Elgon, Kirinyaga, Narok, Busia, Kisumu, Tana River, Trans Nzoia, Busia, and Bungoma counties. Infrastructural damage, including roads and bridges, has also been reported in parts of Tana River, Marsabit, Isiolo, Mandera, Wajir, Nandi and Machakos counties. El Ni¤o. IFRC say that the rains have been driven by the El Ni¤o conditions in the Pacific Ocean, and their distribution closely matches the El Ni¤o forecasts that had been given by Kenya Meteorological Services (KMS) and by the IGAD Climate Predictions and Application Centre, in the second and third quarters of 2015.
Further Flooding Expected It is thought that flooding will continue into early January in Western Kenya while levels of the Nyando and Nzoia remain high.Flooding is also likely in the counties of Garissa, Tana River and Kilifi after heavy downpours in the Mount Kenya Region, which forms the catchment zone for the River Tana.According to KMS, the Short Rains seasonal rainfall may extend further into January in the southern, central and south-western Counties."
4316,,0,Australia,0,#N/A,#N/A,New South Wales Hunter region.,News,23-Dec-15,6-Jan-16,15,0,0,,Heavy Rain,1,66654.94,6.0,152.121,-30.3571,News,0,48,1,98,23-Dec-15,1160,3783,"January 2, 2016: ""NSW weather: Heavy rain causes flooding in Hunter, Sydney braces for downpours. Flooding in the New South Wales Hunter region has led to evacuations, rescues and hundreds of calls for help as forecasters warn of more heavy rain and the prospect of flash flooding in Sydney. Across the state, rescue crews carried out more than 20 rescues from flood waters. Overnight, residents were evacuated from low-lying parts of the flood-ravaged town of Dungog, where wild weather led to three deaths less than a year ago. Several rivers reached their peak overnight and are now falling, including the Gloucester River, the Myall River at Bulahdelah and the Williams River at Dungog. However, a major flood warning remains in place at Bulga and authorities warned five homes were at risk of flooding in the small community of Glen Martin, north of Newcastle, as the Williams River there continued to swell. Bureau of Meteorology (BoM) duty forecaster Dimitry Danchuk said rainfall there was increasing rapidly. ""Effectively this area went from minor to moderate flooding to moderate to major flooding,"" Mr Danchuk said. A BoM statement said there was a severe weather warning in place for damaging winds and heavy rainfall in the mid north coast and Hunter districts. The warning also said there was potential for dangerous flash flooding in Newcastle this morning. ""At the time of issue, flood warnings were current for Wollombi Brook, and the Colo, Myall, and Paterson and Williams Rivers."" The BoM said between 9:00am on Tuesday and midnight, 254 millimetres of rain fell at Bungwahl near Bulahdelah, including 80 millimetres in the hour to 7:00pm."
4315,,FL-2015-000171-PRY,Paraguay,Uruguay,#N/A,#N/A,"Paraguay River bordering Argentina, Alberdi; Uruguay River,  Cuaresma tributary, northern city of Atiga Uruguay",News,1-Dec-15,6-Jan-16,37,12,170000,,Heavy Rain,2,574056.99,7.6,-55.8482,-26.0369,News,1,48,1,97,01-Dec-15,1160,3782,"January 2, 2016: ""Paraguay villagers heap sandbags as floodwaters threaten southeast. By Hugo Olazar, AFP ALBERDI, Paraguay -- Residents of a Paraguayan village that risks being submerged in floodwater were defying authorities' calls to evacuate on Thursday as a nearby dike threatened to burst, officials said.The Paraguay River bordering Argentina has broken its banks at various points in recent rainstorms, forcing 130,000 people from their homes.But in the southeastern village of Alberdi, many of the 10,000 locals were hunkering down rather than shipping out.Floodwater has transformed the village into an island.""The dike is leaking. Water is gushing out of it and our experts say there is a big risk that it will burst open like a tsunami,"" the country's Emergencies Minister Joaquin Roa told AFP.""There is a wall of water heading south. We cannot wait any longer. We have to evacuate.""Experts say the tropical extreme weather phenomenon known as El Nino and unseasonably hard rain are to blame for widespread flooding in South America in recent weeks.Floods have displaced 170,000 people overall in Paraguay, neighboring Brazil and Argentina, and Uruguay, officials say. At least 12 people have been killed by flooding in Paraguay, Brazil and Argentina.Despite the risks, Alberdi's mayor, Federico Centurion, said about 50 families were not heeding his calls for them to evacuate. ""We are in the hands of God and the Virgin. January 3, 2016: ""The number of people displaced in Uruguay following flooding has risen to 23,571. A report from the National Emergency System, or Sina, said that of all the people who had to leave their homes, 2322 were evacuated and 21,249 abandoned their dwellings by their own means. Heavy downpours recently caused the Uruguay River to overflow - in particular its Cuaresma tributary, which runs through the northern city of Atiga.The floods have left two people confirmed dead, officials said.According to the Sina report, the level of the Uruguay River subsided in Atiga - capital of the like-named province - as it did in Salton province, while remaining stable in Paysandu province.In Atiga, the city hardest hit by the floods, the Cuaresma River reached its highest level on December 23 at 15.28 metres, where the safety level is 10 .2m. The river has now stabilised below that height.Evacuees have been lodged in temporary shelters coordinated by emergency management services, while other displaced people were staying in private homes or at makeshift campsites.Sina warned that once river levels were back to normal, ""returning home can only be done without risk after the cleaning and disinfection of the affected areas have been carried out,"" and that the excessive demands on the healthcare system and the presence of bacteria were other factors that put the health of the population at risk.""AAP. ""atypical flash flooding from the overflowing Jeju¡, Paraguay, Aguaray mi, Aguaray Guaz£ Rivers in the department of San Pedro II. According to the second report issued by the San Pedro department operations centre, 17,565 people (3,513 families) have been affected by the rains, flooding, storms, and hail that have been occurring since mid-November - 2,285 people are in shelters and 2,600 people remain cut off. The intense and constant rains during this period have dumped some 350.2mm of rain between 23 November and 14 December.(From International Glide Reports)k
"
4314,,0,USA,0,#N/A,#N/A,"Central and southern Mississippi Valley, Missouri, Illinois, Kentucky, Tennesee, Arkansas, Mississippi",News,15-Dec-15,6-Jan-16,23,31,4000,,Heavy Rain,2,526834.76,7.4,-91.0829,35.6658,News,1,47,1,96,15-Dec-15,1159,3781,"January 5, 2016: ""(MENAFN - The Peninsula) The Mississippi River is pictured flowing at 800000 CFS (cubic feet per second) measured by the U.S. Geological Survey (USGS) in St. Louis Missouri December 31 2015. REUTERS/Kate Munsch
Residents of flooded areas in far southern Illinois anxiously waited for the swollen Mississippi River to peak on Sunday with hundreds electing to remain in their homes as states downstream prepared for the rising watersAbout 125 structures were flooded in hard-hit Alexander County the southernmost point in Illinois where three families near one breach stayed dry behind sandbag fortifications and private levees county board Chairman Chalen Tatum said.The National Weather Service on Sunday canceled a flash flood watch for Alexander and two other Illinois counties where record or near-record river levels have threatened levees.Days of downpours totaling 10 inches or more in spots pushed the Mississippi and smaller rivers over their banks in several states. At least 31 people have died in Missouri Illinois Oklahoma and Arkansas most of them after vehicles drove into flooded areas.Nine people have died in the Illinois flooding and a dozen counties have been declared disaster areas there said Patti Thompson spokeswoman for the Illinois Emergency Management Agency.
In Alexander County officials knocked on more than 500 doors to urge people to leave voluntarily though many stayed Tatum said. The voluntary evacuation could run another four days and no injuries or deaths have been reported he said.?The levees have a lot of pressure on them? Tatum said adding that a breach two days ago in a levee west of Miller City in the county has reached a quarter-mile wide. ?We hope they hold but I don?t want to bet someone?s life on it.?Tatu said many more homes were affected by a flood in 2011 and expressed frustration that already approved buy-outs of more than 100 homes and small businesses related to that flooding have been stalled by an Illinois state budget impasse.The Mississippi receded further from dangerous levels at St. Louis and farther south at Thebes Illinois and Cape Girardeau Missouri on Sunday the NWS said.Significant flooding was expected into mid-January along the Mississippi River at points downstream from Tennessee to Mississippi Arkansas and Louisiana.?I hope it?s going to slow down? said Kristy Morgan an assistant manager of Little General Marathon Gas in Tiptonville a small city in the northwest corner of Tennessee.?All I know is they have been working around the clock doing sand-bagging? Morgan said of city and county personnel and emergency agencies in the area.The river is expected to crest at the moderate flood stage on Thursday in Memphis Tennessee according to the NWS. In Louisiana where crests at some points along the river are not expected until mid-January officials are checking levees daily.The river is expected to reach major flood stage from Arkansas City Arkansas to Natchez Mississippi the NWS said. Islands and camps inside the levee structures would be expected to flood with some backup flooding from rivers that flow into the Mississippi the NWS said.Exxon Mobil Corp said its refined products terminal in Memphis remained closed. On Friday the company decided to shut the terminal just south of downtown which has a capacity of 340000 barrels as flood waters threatened to inundate it.(Reporting by David Bailey in Minneapolis Erwin Seba in Houston and Tim Ghianni in Nashville; Editing by Dan Grebler) Reuters"
4313,,0,Albania,0,#N/A,#N/A,"Northern counties of Kuk‰s, Dib‰r, Durr‰s, Shkod‰r,  southern county of Gjirokast‰r, and around the capital in Tirana district, central Albania",News,21-Nov-15,4-Dec-15,14,1,300,,Heavy Rain,1,11409.69,5.2,19.9659,41.2871,News,0,46,1,95,21-Nov-15,1158,3780,"November 23, 2015: From FloodList ""Albania ? Floods Leave 1 Dead and Thousands Without Power23 NOVEMBER, 2015 BY FLOODLIST NEWS IN EUROPE, NEWS  ú 0 COMMENT Heavy rainfall caused widespread flooding in Albania yesterday, 22 November 2015.  Some areas around Tirana saw almost 9 cm (3.5 inches) of rain in 24 hours.Albania?s General Directorate of Civil Emergencies (Drejtoria e P‰rgjithshme e Emergjencave Civile) say that one man was killed whilst working at a hydro power plant after he was swept away by an overflowing river in Dib‰r county.
Flooding has been reported in the northern counties of Kuk‰s, Dib‰r, Durr‰s, Shkod‰r, the southern county of Gjirokast‰r, and also around the capital in Tirana district, in central Albania.The River Mat overflowed in Dib‰r county during the evening of 22 November 2015, forcing the evacuation of several families in the village Zenisht.Flooding has blocked roads, and caused damage to property and to several bridges in several counties. Many have been left without power and some without drinking water. Local media reported yesterday that 30,000 were left without power, including residents in the Tirana area.Heavy rainfall has also been reported in other Balkan countries, including Macedonia, Bosnia and Herzegovina and Montenegro. Currently there are no reports of any serious flooding.Three people died when flooding struck Albania in November 2014. The country also suffered flooding in October this year after heavy rainfall affected wide areas of the region, including Greece, Turkey and southern Italy.Rainfall FiguresFigures according to WMO for a 24 hour period between 22 and 23 November 2015.
Albania
Tirana-La Praka ? 89 mm
Kukes ? 54 mm
The previous day (21 to 22 November) Shkodra recorded 54 mm of rain.

Macedonia
Mavrovo ? 70.9 mm
Lazaropole ? 59.1 mm

The Balkan countries of Montenegro and Bosnia and Herzegovina have also seen heavy rain over the last few days. The figures below are for a 24 hour period between 21 and 22 November 2015.

Bosnia and Herzegovina
Bjelasnica ? 79 mm
Ivan Sedlo ? 81 mm

Montenegro
Podgorica/Golubovci ? 52 mm
Niksic ? 55 mm"
4312,,FL-2015-000165-MDV,Maldives,0,#N/A,#N/A,Addu City,News,25-Nov-15,4-Dec-15,10,0,0,,Torrential Rain,1.5,6371.38,5.0,73.1892,-0.144295,News,0,46,1,94,25-Nov-15,1158,3779,"November 26, 2015: From FloodList ""Maldives ? Floods in Addu City after 228 mm of Rain. Local media in the Maldives are reporting that a torrential downpour lasting around 12 hours has caused the worst flooding in decades in Addu City.The deputy mayor, Abdulla Thoyyib, as quoted in the Maldives Independent, said: ?This is the worst flooding I?ve seen in decades. The water is knee-deep in most areas, and a majority of houses are under a foot of water.?Initial reports say that over 80 houses have suffered damage, with 50 suffering major damage. Maldives National Defence Forces have set up water pumps to help ease the flooding.The downpour struck during the afternoon of Tuesday 24 November 2015 and continued for 12 hours. According to local news reports, the Maldives department of meteorology recorded 228mm (almost 9 inches) of rain for the period between 24 to 25 November, 2015. Maldives Independent say this is the worst in 40 years in the Maldives.Addu City is made up of several inhabited islands of the southernmost atoll of the Maldives archipelago. After the capital Mal‚, Addu City is the the second most inhabited area of the country with a population of around 30,000 people. ""FL-2015-000165-MDV Flood Maldives Southern Addu City has suffered the worst storm damage in 40 years after 12 continuous hours of torrential rain left streets inundated and flooded some 200 households""

"
4311,,0,USA,0,#N/A,#N/A,"Texas, Kansas, Oklahoma",News,26-Nov-15,4-Dec-15,9,14,300,,Heavy Rain,1,439381.83,6.6,-100.238,33.9839,News,1,46,1,93,26-Nov-15,1158,3778,"November 29, 2015: From FloodList: ""At least 14 deaths have been reported in Texas and Kansas after a band of slow moving storms brought floods and freezing rain to wide areas of southern and central USA.The severe weather began on Thursday, 26 November 2015, America?s Thanksgiving Day. Northern Texas, Oklahoma, Kansas and Arkansas were all severely affected. Eight of the deaths occurred in Texas, the other 6 in Kansas.In Oklahoma, around 70,000 homes and businesses were without power at one point over the weekend. Oklahoma Governor, Mary Fallin, has declared a state of emergency in all 77 counties of the state. The declaration will allow state agencies to make emergency purchases related to disaster relief and preparedness and is the first step toward possible asking for federal assistance.Further flooding is threatening parts of north Texas and Arkansas as river levels remain high after several days of rain. The Trinity and Brazos rivers are thought to be at the highest risk of overflowing. Levels of the Trinity crested at Dallas on Sunday 29 November 2015, but flooding is still a risk for areas further down river.At least 7 locations in Texas recorded around 7 inches (178mm) or more of rain between the start of the storms on Thursday and early Sunday morning, 29 November 2015. Associated Press report that Texas authorities placed the state?s record year-to-date rainfall total at 142 cm.As the total yearly rainfall figure suggests, Texas has endured a year of major floods. Just a few days ago, President Obama signed a disaster declaration for 15 counties in Texas for damage caused by the late October flooding and storms.In a recent study, Arkansas was considered one of the US states least prepared for any increase in inland flooding risk posed by a changing climate. The state of Texas wasn?t assessed for inland flooding dangers, despite being one of the hardest hit by floods in recent years"
4310,,FL-2015-000162-QAT,Qatar,Saudi Arabia,#N/A,#N/A,Qatar and central and eastern parts of Saudi Arabia,News,25-Nov-15,4-Dec-15,10,1,0,,Torrential Rain,1,402659.81,6.6,51.885,21.6586,News,1,45,1,92,25-Nov-15,1157,3777,"November 25, 2015: ""1 Dead after Floods in Saudi Arabia, Qatar sees 1 Year of Rain in 1 Day25 NOVEMBER, 2015 BY FLOODLIST NEWS IN ASIA, NEWS  ú 0 COMMENT Seasonal storms brought heavy rain to Qatar and central and eastern parts of Saudi Arabia on 25 November 2015.
Doha, Qatar, recorded more than a year?s worth of rain in one day. One person has been reported as killed in the floods in Riyadh Region, Saudi Arabia in what is the third deadly flood event to hit the country in the last 4 weeks.Saudi ArabiaThe state-run Saudi Press Agency reported earlier today that seasonal storms brought heavy rainfall in central and eastern areas of the country, causing severe flooding in Riyadh and Al-Qassim Regions.Saudi Arabia civil defence report that 1 person has died in the floods in the province of Rimah, Riyadh Region, which is located about 120 kilometres north-east of the capital Riyadh.Schools have been closed, roads blocked and in some cases flooding has forced drivers to abandon their vehicles. Saudi Arabia civil defence say they have responded to dozens of emergency calls. The city of Buraidah, Al-Qassim Region, is reported as one of the worst hit"" ""FL-2015-000162-QAT Flood Qatar Qatar was hit by more than a year's worth of rain in a matter of hours, almost bringing the country to a standstill and prompting the country's prime minister to order an inquiry. The deluge in Doha blocked several roads, making some impassable for commuters and causing huge congestion"
