"country","began","duration","area","magnitude","x","y"
"United Kingdom",42343,33,36750,6,-2.8,55
"Philippines",42350,26,6148,5,121.2,12.8
"Kenya",42339,37,103770,7,39.5,-2
"Australia",42361,15,66655,6,152.1,-30.4
"Paraguay",42339,37,574057,8,-55.8,-26
"USA",42353,23,526835,7,-91.1,35.7
"Albania",42329,14,11410,5,20,41.3
"Maldives",42333,10,6371,5,73.2,-0.1
"USA",42334,9,439382,7,-100.2,34
"Qatar",42333,10,402660,7,51.9,21.7
"India",42318,25,93202,7,78.9,11.8
"Indonesia",42300,6,56237,6,98.4,3.7
"Greece",42298,8,129125,6,21.7,39.8
"Bahamas",42279,7,4639,5,-73.8,22.5
"Egypt",42301,5,8232,5,30.5,31
"Somalia",42292,14,438557,7,45.4,4.7
"Algeria",42293,13,92985,6,-7,28.3
"Mexico",42300,6,1432950,7,-101.8,28.4
"Uruguay,",42291,15,392899,7,-53.6,-30
"Philippines",42299,7,80272,6,121.2,16.7
"Romania",42289,2,441,3,28.7,44.6
"New Zealand",42267,12,837,4,177.9,-38.7
"Guatamala",42279,2,6023,4,-90.6,14.8
"France",42280,5,2896,4,6.5,43.4
"USA",42278,13,61355,6,-80.5,33.5
"Nigeria",42246,13,186816,7,11.5,10
"Vietnam",42254,5,192887,6,104.8,20.6
"Japan",42256,3,52859,6,140,36.9
"Niger",42210,26,686735,7,2.5,14.8
"Argentina",42226,10,133853,6,-59.8,-35.1
"Uruguay",42233,3,63708,5,-55.7,-32.6
"India",42229,30,69190,6,93.8,26.9
"Philippines",42218,4,9791,5,125.1,7.4
"China",42218,4,53741,6,112.5,35.1
"Guinea",42211,11,22456,5,-13.4,10
"Macedonia",42219,3,5957,4,21.2,41.8
"Myanmar",42200,36,296424,7,95.5,20.2
"India",42200,36,629962,8,82.6,26.2
"Paraguay",42210,12,28653,6,-58.3,-25
"Vietnam",42210,12,24337,6,106.9,20.8
"USA",42202,5,109391,6,-113.6,34.1
"Philippines",42197,10,16151,5,120.8,15.6
"Iran",42199,8,776608,7,54,33.4
"Brazil",42195,12,690931,7,-50.8,-25.6
"Guyana",42201,6,30931,5,-58.7,6.7
"USA",42203,4,44261,5,-83.2,38.4
"Tajikistan",42200,7,56196,6,73.1,38.1
"Pakistan",42200,36,137040,7,72.3,34.3
"Camaroun",42177,8,4726,5,9.9,3.9
"Pakistan",42180,5,73485,6,72.8,35
"Costa Rica",42176,9,16754,5,-83.8,10.2
"Vietnam",42179,6,6347,5,103.5,21.3
"USA",42182,3,161573,6,-84.7,39.4
"Russia",42180,5,5568,5,39.3,44.1
"India",42179,6,43782,6,70.8,21.9
"New Zealand",42177,8,8949,5,175.2,-39.9
"Bangladesh",42179,6,12508,5,92,22.4
