"country","began","duration","area","magnitude","x","y"
"USA",42353,23,526835,7,-91.1,35.7
"USA",42334,9,439382,7,-100.2,34
"USA",42278,13,61355,6,-80.5,33.5
"USA",42202,5,109391,6,-113.6,34.1
"USA",42203,4,44261,5,-83.2,38.4
"USA",42182,3,161573,6,-84.7,39.4
"USA",42129,56,849465,8,-98,34.2
"USA",42073,14,56870,6,-86.2,37
"USA",41984,4,70256,5,-123.1,39.8
"USA",41974,5,202666,6,-117.2,35.4
"USA",41933,2,8447,4,-80.4,26.9
"USA",41861,10,11462,5,-83.3,42.5
"USA",41831,4,2951,4,-134.4,58.2
"USA",41800,35,418317,7,-94.8,42.7
"USA",41759,2,260470,6,-84.9,31.3
"USA",41730,8,82419,6,-87.6,31.9
"USA",41723,6,53221,6,-89.1,31.4
"USA",41701,8,35,3,168.7,7.3
"USA",41630,14,16070,5,-86.8,37.6
"USA",41578,11,38936,6,-98,30.7
"USA",41529,9,100404,6,-105.1,38
"USA",41491,3,123143,6,-94.2,38.2
"USA",41419,10,170079,6,-91.6,37.1
"USA",41419,10,123500,6,-93.4,41.9
"USA",41419,4,33908,5,-98.9,28.9
"USA",41391,3,43181,5,-97.6,48.6
"USA",41386,8,493137,7,-88.6,38.8
"USA",41206,6,293995,7,-75.2,39.9
"USA",41172,7,8846,5,-149.9,63.2
"USA",41149,11,83938,6,-89.3,30.5
"USA",41103,4,24531,5,-95.8,29.6
"USA",41082,11,67995,6,-82.5,29
"USA",41069,4,20117,5,-85.5,30.4
"USA",40972,4,2046,4,-159.5,22.1
"USA",40782,18,252913,7,-74.1,40.2
"USA",40761,4,26045,5,-79.4,35.8
"USA",40714,17,16001,6,-101.3,48.3
"USA",40698,56,23538,6,-99.5,43.5
"USA",40685,31,171531,7,-105.7,45.3
"USA",40664,40,239421,7,-90.8,34.1
"USA",40651,8,211221,6,-79.4,38.6
"USA",40269,419,46208,8,-97.2,48.7
"USA",40609,22,1163517,8,-83.6,36.8
"USA",40531,10,355568,7,-120.7,38.8
"USA",40443,9,3873,5,-90.2,44
"USA",40428,5,15031,5,-97.1,28.9
"USA",40400,2,8257,4,-93.5,42.3
"USA",40384,1,214908,5,-91,41.1
"USA",40340,1,12235,4,-94.1,34.6
"USA",40299,4,79124,6,-87.3,36.1
"USA",40264,5,240302,6,-74.9,39.5
"USA",40247,15,1015176,7,-78.1,41.4
"USA",40247,8,48983,6,-86.4,32.9
"USA",40196,5,103983,6,-121.5,37.4
"USA",40159,4,314990,6,-86.5,32.5
"USA",40127,4,468142,6,-83.7,35.2
"USA",40118,3,14194,5,-3.1,55.7
"USA",40077,8,225395,6,-84.8,34.4
"USA",40029,2,6535,4,-85.7,37.1
"USA",39984,3,82900,5,110.3,26.8
"USA",39951,4,5754,5,-72.3,19.6
"USA",39936,8,58894,6,64.4,34.9
"USA",39934,38,21367,6,121.4,18
"USA",39923,10,524373,7,-45.4,-3.2
"USA",39909,4,20494,5,-67.6,47.2
"USA",39896,28,44401,6,100.7,-1.2
"USA",39878,8,29982,5,32.2,-25.1
"USA",39853,2,117999,6,158.7,-8.1
"USA",39811,19,29579,6,107.1,16.9
"USA",39808,3,126659,6,103.1,-3.3
"USA",39808,3,66257,5,-123.5,44.7
"USA",39793,5,21322,5,-1.7,51.5
"USA",39758,7,75157,6,-122.8,47
"USA",39703,5,652501,7,-90.5,35.1
"USA",39692,2,163438,6,-92.5,31.3
"USA",39680,9,98479,6,-82.9,29.7
"USA",39677,4,4188,4,-106,31.5
"USA",39677,2,385,3,-112.7,36.3
"USA",39669,3,136110,6,-96.3,37.8
"USA",39668,4,53271,6,-71.5,44.3
"USA",39659,13,163706,7,-151,64.3
"USA",39604,29,759750,8,-92.2,39.8
"USA",39592,13,337703,7,-88.4,37
"USA",39563,13,25490,6,-67.3,46.4
"USA",39524,47,928710,8,-89.2,36.2
"USA",39484,7,118977,6,-86.8,40.9
"USA",39455,8,102263,6,-86.7,40.8
"USA",39452,5,551,3,-119.2,39.6
"USA",39419,5,41684,5,-122.9,47.1
"USA",39310,12,1216616,7,-94.6,36.9
"USA",39259,28,507778,7,-97.2,32.8
"USA",39252,2,6498,4,-75,42.2
"USA",39250,6,34568,5,-97.3,33.4
"USA",39226,6,341278,6,-98.7,30.2
"USA",39208,13,642776,7,-95.2,40.4
"USA",39187,7,109079,6,-72.2,42.3
"USA",39152,3,11016,5,-97.9,29.9
"USA",39097,20,434387,7,-90.1,34.9
"USA",39026,6,57886,6,-122.1,47.9
"USA",39005,18,35645,6,-95.3,29.8
"USA",38999,6,51560,5,-146,60.9
"USA",38982,5,146006,6,-87.6,37.2
"USA",38962,6,4560,4,-77.9,34.7
"USA",38948,6,123354,6,-147,62.4
"USA",38925,12,3610,5,-106.4,31.8
"USA",38925,4,4722,4,-81.1,41.5
"USA",38893,7,122594,6,-75.8,40.4
"USA",38890,4,6788,4,-86.9,41.4
